,City,Lat,Lng
0,Cooke City,45.020038,-109.933599
1,Brantley,31.5823832,-86.2571786
2,Buellton,34.6134727,-120.193669
3,Indian Beach,34.6865508,-76.8952181
4,Tres Pinos,36.7899573,-121.321043
5,Tabor City,34.1487804,-78.8766916
6,Wabasso Beach,27.7642808,-80.3979434
7,Carneys Point,39.71082015,-75.46755083409386
8,Hilton Head Island,32.1618488,-80.7512616
9,Walkersville,39.4817659,-77.3507698
10,North Mankato,44.1732916,-94.0338055
11,Enon,39.8781151,-83.9368765
12,Boron,35.01992715,-117.66791822379915
13,Hackettstown,40.8538944,-74.8291638
14,Red Hill,34.2186593,-108.8722962
15,Saratoga,37.2638324,-122.0230146
16,Brownwood,31.7070026,-98.9831022
17,Brownstown Charter Township,42.1529228,-83.2753247
18,Mount Laurel Township,39.934002,-74.8909988
19,Port Gamble,47.8542606,-122.583758
20,Saint George Island,29.692556250000003,-84.78061004159991
21,Mount Prospect,42.0664167,-87.9372908
22,Signal Mountain,35.1223478,-85.3436973
23,Parsons,39.0968695,-79.6809332
24,Rock Hill,34.9248667,-81.0250784
25,Maynard,42.7738826,-91.8806147
26,Deep Run,35.1454412,-77.7038632
27,Rand,38.28243,-81.562457
28,Glenwood Springs,39.5507448,-107.3255001
29,Carmel-by-the-Sea,36.5552656,-121.923278
30,Chestertown,43.6525664,-73.8009597
31,Palisade,46.7132862,-93.4885687
32,Van Buren Township,42.2207982,-83.4841464
33,Owings,38.7176176,-76.6013487
34,Bluffdale,40.4898176,-111.9392845
35,Town of Massena,44.928106,-74.892082
36,Burbank,34.1816482,-118.3258554
37,Apache Junction,33.4150485,-111.549577
38,Ross,39.312296,-84.6507966
39,Bricktown,40.0592829,-74.1370845
40,Round Lake Beach,42.3716881,-88.0900806
41,Steubenville,40.3697905,-80.6339638
42,Belle Haven,37.555589999999995,-75.82672449131182
43,Mattydale,43.0978449,-76.1452021
44,Longport,39.3142827,-74.5248756
45,Sewickley,40.5364566,-80.1845031
46,Smithsburg,39.6548186,-77.5727681
47,Ashdown,33.67344,-94.1299625
48,New Providence,40.6984348,-74.4015405
49,Deer Trail,39.6131274,-104.0445185
50,Windy Hill Beach,33.7936159,-78.7301108
51,Scottdale,40.1003507,-79.5869835
52,North Springfield,43.3328516,-72.5253684
53,Sunrise Beach,38.1758645,-92.7843553
54,Matador,34.0120211,-100.822078
55,Milton-Freewater,45.9329103,-118.3877558
56,Leupp,35.2982231,-111.006193
57,New Franklin,40.9526931,-81.565937
58,Graettinger,43.2377381,-94.751376
59,Dilley,28.6695971,-99.1672017
60,Hudsonville,42.870889,-85.865235
61,Amagansett,40.9736557,-72.1437716
62,North Prairie,42.934456,-88.4053742
63,Sayreville,40.4635362,-74.3618499
64,Jackson Township,40.86301455,-81.48119364995432
65,Center Moriches,40.8002427,-72.7901318
66,Mastic Beach,40.765722,-72.836722
67,West Henrietta,43.0400626,-77.6616685
68,Goffstown,43.020445,-71.600257
69,Village of Valatie,42.4134168,-73.6731749
70,Crivitz,45.232476,-88.007606
71,Bumpass,37.963473,-77.7372132
72,Minnetonka,44.9405086,-93.4638936
73,Idyllwild-Pine Cove,33.7402774,-116.7189424
74,Town of Leyden,43.5339571,-75.378872
75,San Ramon,37.7648021,-121.9544387
76,Maplesville,32.784748750000006,-86.87612657923644
77,Nolanville,31.0787888,-97.6055694
78,Summersville,38.2812203,-80.8525981
79,Sleepy Eye,44.2971692,-94.724204
80,Frazeysburg,40.1172905,-82.1193076
81,Fircrest,47.2317185,-122.514304
82,Andrews,35.2017495,-83.8240676
83,Netarts,45.4351859,-123.9459786
84,Hamer,34.4779404,-79.3308773
85,Lothian,38.8297276,-76.6159457
86,Key Biscayne,25.6968351,-80.1635261
87,Center Groton,41.3837096,-72.0278529
88,East Dummerston,42.9323033,-72.5531456
89,Lake Ann,44.723889,-85.843139
90,Randsburg,35.3685739,-117.6581161
91,Rosman,35.1436895,-82.8220186
92,West Hartford,41.7620447,-72.7420399
93,Seeley Lake,47.1793267,-113.4846478
94,Zimmerman,45.4432761,-93.5899663
95,Apollo Beach,27.7738118,-82.4073116
96,Hilbert,44.140268,-88.1639908
97,Onamia,46.0705151,-93.6677455
98,Kalaloch,47.6053018,-124.3716225
99,Belgrade Lakes,44.526454,-69.8869966
100,Deer Lodge,46.395761,-112.730038
101,Nobleboro,44.079511,-69.4850753
102,Salyersville,37.7525922,-83.0687816
103,Tonkawa,36.6783679,-97.3100442
104,Kahului,20.8894101,-156.4727118
105,Colmor,36.2205897,-104.6494336
106,Winchendon,42.6815126,-72.0499767
107,Oak Creek,42.8858503,-87.8631362
108,Clanton,32.8387371,-86.6294262
109,Lebanon Junction,37.8345086,-85.7319042
110,Town of Minetto,43.398124,-76.47744
111,Abbott,31.889930149999998,-97.08708306334233
112,West Bountiful,40.8938148,-111.9017866
113,Ivins,37.1685907,-113.6794057
114,Egg Harbor Township,39.3820672,-74.6171489
115,Brigantine,39.4101171,-74.3645906
116,North Palm Springs,33.9227924,-116.5430685
117,Perkins,35.9740886,-97.0337692
118,Thompson's Station,35.802011,-86.9113908
119,Timpson,31.9037814,-94.3952022
120,Jarratt,36.8161905,-77.47244469406392
121,Leyner,40.049707,-105.1024837
122,Tujunga,34.252225,-118.2884105
123,Catalina,32.4996147,-110.926146
124,Sod,38.2442625,-81.8762393
125,Kapalua,21.0008534,-156.663155
126,Olmsted Falls,41.375049,-81.9081937
127,Valdez,61.1299396,-146.349363
128,Crestwood,38.3235441,-85.4726215
129,Blytheville,35.9288199,-89.9073557
130,Cortland,41.3301062,-80.7252782
131,Kodiak,57.79,-152.4072222
132,Whitsett,36.0712466,-79.5644686
133,Fish Haven,42.0368759,-111.3963177
134,East Olympia,46.9675218,-122.8367721
135,Samson,31.1108931,-86.0476302
136,Knoxville,35.9603948,-83.9210261
137,Wapiti,44.4685829,-109.4376315
138,Henning,46.3216278,-95.4453162
139,Deer Creek,46.3910724,-95.3214228
140,Lewis,41.3060045,-95.0892282
141,Brookneal,37.0501416,-78.9441801
142,Hillsville,41.0075976,-80.4964729
143,Lyndonville,44.533717,-72.003708
144,Fuquay-Varina,35.5843849,-78.7998691
145,St. Peter,44.3238384,-93.9585295
146,South Haven,42.4030865,-86.2736407
147,New Johnsonville,36.0211715,-87.9669765
148,Empire,44.6634888,-93.1315473
149,Ridgewood,40.9796683,-74.1194403
150,Hattieville,35.2875814,-92.7868322
151,Fernandina Beach,30.6696818,-81.4625919
152,Village of Millbrook,41.7865038,-73.6921867
153,Oologah,36.4470387,-95.7083151
154,Climax Springs,38.1014705,-93.0511058612413
155,Kossuth,34.872191,-88.64282642987013
156,Crow Agency,45.6016413,-107.461194
157,Foster,41.8537098,-71.7581249
158,Rawlins,41.7907878,-107.239176
159,Boyd,33.0788867,-97.5654422
160,Stigler,35.253708,-95.1230169
