,City,Lat,Lng
0,Cranston,41.7809588,-71.4371257
1,Key West,24.5625566,-81.7724368
2,Oklahoma City,35.4729886,-97.5170536
3,Village of Valley Stream,40.6631362,-73.7056955
4,Jacksonville,30.3321838,-81.655651
5,Lawrenceburg,38.0371378,-84.8962551
6,Leawood,38.966673,-94.6169012
7,Washington,38.8950368,-77.0365427
8,Lee's Summit,38.9107156,-94.3821295
9,Yardley,40.245664,-74.8459972
10,Boise,43.6166163,-116.200886
11,Westland,42.3238056,-83.4005321
12,Del Rey,33.9896527,-118.4243437
13,Marietta,33.9528472,-84.5496148
14,Gunnison,38.5458246,-106.9253207
15,Spicer City,35.5010719,-119.6045681
16,Sacramento,38.5810606,-121.493895
17,Village of Bainbridge,42.2935152,-75.4792592
18,Deer Park,47.9543679,-117.4768479
19,Yakima,46.601557,-120.510842
20,Town of Oyster Bay,40.769652199999996,-73.4998644683956
21,Montclair,40.8164458,-74.2210643
22,Anchor Point,59.7805612,-151.8392978
23,Battle Creek,42.3192548,-85.1824269
24,West Milford,41.1312069,-74.3673748
25,Richmond,37.9357576,-122.347748
26,Dillingham,59.0397222,-158.4575
27,Waterboro,43.5356367,-70.7150573
28,Palmer,61.5995703,-149.11109
29,Troy,42.6055893,-83.1499304
30,Alamogordo,32.9046474,-105.941835
31,Los Angeles,34.0536909,-118.242766
32,Oldtown,38.4403582,-82.8982241
33,Boothbay,43.8764706,-69.6336571
34,Pittsburgh,40.4416941,-79.9900861
35,Wills Point,32.7092955,-96.0083018
36,Pacifica,37.6138253,-122.4869194
37,Orlando,28.5421109,-81.3790304
38,Charlotte,35.2272086,-80.8430827
39,Seattle,47.6038321,-122.330062
40,Round Hill,39.132723,-77.7686273
41,Winston-Salem,36.0998131,-80.2440518
42,Pawleys Island,33.4293486,-79.1215912
43,Portland,45.5202471,-122.674194
44,Lee,43.12354,-71.011505
45,Cookeville,36.1623886,-85.4997057
46,Summerfield,36.2087468,-79.9047583
47,Ocala,29.1871986,-82.1400923
48,Glennville,31.9365917,-81.9284501
49,La Pine,43.6703995,-121.503636
50,Coopersville,43.0639112,-85.9347667
51,Satellite Beach,28.1761233,-80.5900519
52,Hillsboro,45.5228939,-122.989827
53,New York County,40.7127281,-74.0060152
54,Boone,36.2165362,-81.6746158
55,Corona,33.8752945,-117.5664449
56,Willow Canyon,32.3886863,-110.6987011
57,Summerville,33.0186699,-80.1762704
58,Des Allemands,29.8238196,-90.4750838
59,Brooksville,28.5552719,-82.3878709
60,Colorado Springs,38.8339578,-104.825348
61,Salt Lake City,40.7596198,-111.8867975
62,Orangevale,38.6840715,-121.21839903078865
63,North Arlington,40.788434,-74.1331988
64,Manistique,45.95779,-86.246419
65,Calverton,40.9064873,-72.7434331
66,Leavenworth,38.1997869,-86.3441439
67,Tigard,45.4307473,-122.771933
68,Cedartown,34.0124425,-85.2559398
69,Raytown,39.0168425,-94.4630468
70,Leavenworth,39.345184,-94.921703
71,Spokane,47.6571934,-117.42351
72,Rock Island,47.3770731,-120.1439523
73,Lakewood,39.7085736,-105.0846694
74,Golden,39.7546349,-105.22058
75,Merrill,42.7196653,-96.2481127
76,Kitty Hawk,36.0664318,-75.6935448
77,Olathe,38.8838856,-94.81887
78,Laguna,35.035175,-107.3874054
79,Nashville-Davidson,36.1622767,-86.7742984
80,Marathon City,44.9310044,-89.8394576
81,Baxter,36.1539862,-85.6437474
82,Omaha,41.2587459,-95.9383758
83,Davenport,37.0116166,-122.1919134
84,Kennesaw,34.0234337,-84.6154897
85,Bloomington,39.1670396,-86.5342881
86,Hamburg,41.1534294,-74.5762713
87,Tacoma,47.2455013,-122.438329
88,Huntsville,30.7235263,-95.5507771
89,Perkasie,40.372048,-75.292676
90,East Hartford,41.7823216,-72.6120346
91,Lincoln City,44.9617922,-124.0159522
92,Fresno,36.7295295,-119.70886126075588
93,Apple Valley,34.5008311,-117.1858759
94,Red Rock,36.6044451,-109.060653
95,City of Tonawanda,43.020679,-78.878383
96,Tempe,33.4255056,-111.9400091
97,Lenoir,35.9140196,-81.5389849
98,Sheboygan,43.7508284,-87.71453
99,Myrtle Beach,33.6956461,-78.8900409
100,Hemet,33.7475203,-116.9719684
101,Lake Montezuma,34.6322449,-111.7779282
102,Prescott,34.5399962,-112.468761
103,Tonto Basin,33.8317111,-111.294575
104,Camp Verde,34.5636358,-111.854317
105,Grass Valley,39.2190607,-121.06292
106,Summit,37.801502,-112.93713437267658
107,Tucson,32.2228765,-110.9748477
