,City,Lat,Lng
0,Cranston,41.7798,-71.4373
1,Key West,24.5557,-81.7826
2,Oklahoma City,35.4676,-97.5164
3,Valley Stream,40.6643,-73.7085
4,Jacksonville,30.3322,-81.6556
5,Lawrenceburg,38.0373,-84.8966
6,Leawood,38.9667,-94.6169
7,Washington,47.5001,-120.5015
8,Lee's Summit,38.9108,-94.3822
9,Yardley,40.2457,-74.846
10,Boise,43.6135,-116.2035
11,Gemeente Westland,51.9967,4.2273
12,Del Rey,36.6591,-119.5937
13,Marietta,33.9526,-84.5499
14,Gunnison,38.7,-107.0673
15,Spicer City,35.5011,-119.6046
16,Sacramento,38.4666,-121.3177
17,Bainbridge Island,47.6262,-122.5212
18,Deer Park,29.7052,-95.1238
19,Yakima,46.4665,-120.6678
20,Oyster Bay,40.8657,-73.5321
21,Montclair,40.8259,-74.209
22,Anchor Point,59.7767,-151.8314
23,Sacramento,38.4666,-121.3177
24,Battle Creek,42.3212,-85.1797
25,West Milford,41.1312,-74.3674
26,Richmond,37.5538,-77.4603
27,Dillingham,59.0397,-158.4575
28,Waterboro,43.5356,-70.7151
29,Palmer,42.1584,-72.3287
30,Troy,42.6056,-83.1499
31,Alamogordo,32.8995,-105.9603
32,Los Angeles,34.0522,-118.2437
33,Oldtown,53.5253,-6.3156
34,Boothbay,43.8765,-69.6337
35,Pittsburgh,40.4406,-79.9959
36,Wills Point,32.7093,-96.0083
37,Pacifica,37.6138,-122.4869
38,Orlando,28.5383,-81.3792
39,Charlotte,35.2271,-80.8431
40,Seattle,47.6062,-122.3321
41,Round Hill,53.1668,-112.6352
42,Winston-Salem,36.0999,-80.2442
43,Pawleys Island,33.4293,-79.1216
44,Portland,45.5234,-122.6762
45,Lee,26.567,-81.8831
46,Cookeville,36.1628,-85.5016
47,Summerfield,36.2088,-79.9048
48,Ocala,29.1872,-82.1401
49,Glennville,31.9366,-81.9285
50,La Pine,43.6704,-121.5036
51,Coopersville,43.0639,-85.9348
52,Satellite Beach,28.1761,-80.5901
53,Hillsboro,45.5229,-122.9898
54,New York,40.7143,-74.006
55,Boone,39.0334,-92.3335
56,Corona,33.8753,-117.5664
57,Willow Canyon,32.3887,-110.6987
58,Orlando,28.5383,-81.3792
59,Summerville,33.0185,-80.1757
60,Des Allemands,29.8238,-90.4751
61,Brooksville,28.5553,-82.3879
62,Colorado Springs,38.8339,-104.8214
63,Salt Lake City,40.7608,-111.8911
64,Orangevale,38.6785,-121.2258
65,Portland,45.5234,-122.6762
66,North Arlington,40.7884,-74.1332
67,Manistique,45.9577,-86.2462
68,Calverton,39.0576,-76.9358
69,Leavenworth,39.2333,-95.0336
70,Tigard,45.4312,-122.7715
71,Cedartown,34.0537,-85.255
72,Raytown,39.0086,-94.4636
73,Fort Leavenworth,39.3452,-94.9217
74,Spokane,47.6166,-117.3677
75,Rock Island,41.45,-90.5168
76,Lakewood,39.7047,-105.0814
77,Golden,39.7555,-105.2211
78,Spokane,47.6166,-117.3677
79,Merrill,45.1805,-89.6835
80,Kitty Hawk,36.0646,-75.7057
81,Olathe,38.8814,-94.8191
82,Laguna,38.421,-121.4238
83,Nashville,36.1659,-86.7844
84,Marathon City,44.931,-89.8395
85,Baxter,46.3433,-94.2867
86,Omaha,41.2586,-95.9378
87,Davenport,41.5236,-90.5776
88,Kennesaw,34.0234,-84.6155
89,Bloomington,44.8408,-93.2983
90,Hamburg,53.55,10.0
91,Tacoma,47.2529,-122.4443
92,Huntsville,34.7304,-86.5861
93,Perkasie,40.3721,-75.2927
94,East Hartford,41.7823,-72.612
95,Lincoln City,44.9582,-124.0179
96,Fresno,36.6666,-119.8343
97,Apple Valley,34.5008,-117.1859
98,Red Rock,-29.9845,153.2262
99,Tonawanda,42.985,-78.878
100,Apple Valley,34.5008,-117.1859
101,Sacramento,38.4666,-121.3177
102,Tempe,33.4148,-111.9093
103,Lenoir,35.2335,-77.6497
104,Sheboygan,43.7333,-87.9334
105,Myrtle Beach,33.6891,-78.8867
106,Hemet,33.7475,-116.972
