,SIGHTING_ID,OCCURRED_DATE,CITY,STATE,COUNTRY,SHAPE,SUMMARY,YEAR,CITYSTATE
0,1,2024-06-20,Cranston,RI,USA,Flash,My wife and I as well as our 2 children witnessed multiple flashing silent objects .,2024.0,"Cranston, RI"
1,2,2024-06-20,Key West,FL,USA,Light,Saw unexplainable lights slightly west of North in Key West,2024.0,"Key West, FL"
2,3,2024-06-20,Oklahoma City,OK,USA,Light,Erratically moving light at high altitude,2024.0,"Oklahoma City, OK"
3,4,2024-06-19,Valley Stream,NY,USA,Sphere,"Sphere in the sky that glowed like an LED light and appeared/disappeared multiple times, at times pulsating.",2024.0,"Valley Stream, NY"
4,5,2024-06-19,Jacksonville,FL,USA,Triangle,Black triangle very low no noise,2024.0,"Jacksonville, FL"
5,6,2024-06-18,Lawrenceburg,KY,USA,Triangle,"Triangular UFO with white, red, maybe blue lights.",2024.0,"Lawrenceburg, KY"
6,7,2024-06-18,Leawood,KS,USA,Circle,"Initially seen by naked eye, but slowly elevated and was out of sight within 30 minutes.",2024.0,"Leawood, KS"
7,8,2024-06-18,Washington,DC,USA,Circle,Round silver shining object,2024.0,"Washington, DC"
8,9,2024-06-18,Lee's Summit,MO,USA,Oval,"Two Lights in Lee's Summit, MO SW Sky, One Disappeared while other Remained for 45 min.",2024.0,"Lee's Summit, MO"
9,10,2024-06-18,Yardley,PA,USA,Other,"Saw black object appear, no noise guessing 5000 feet in the air. Seemed smaller than a Cessna aircraft. No lights or sound.",2024.0,"Yardley, PA"
10,11,2024-06-18,Boise,ID,USA,Sphere,"Adult male and 9 year old child watched a orb/sphere move slowly in the sky, and it looked like there was propulsion out of bottom.",2024.0,"Boise, ID"
11,12,2024-06-17,Westland,MI,USA,Unknown,Tail-like lights whipping and floating up and down.,2024.0,"Westland, MI"
12,13,2024-06-17,Del Rey,CA,USA,Cigar,Silver then changed to translucent,2024.0,"Del Rey, CA"
13,14,2024-06-17,Marietta,GA,USA,Light,Spinning green light moving extremely fast as seen in video,2024.0,"Marietta, GA"
